Alvin Kamara,8200,NOS,RB,CAR,40.00648,7.77659,22.03
Alex Armah,3000,CAR,RB,NOS,0.351,0.216,0.27
Zach Line,3000,NOS,RB,CAR,1.27936,0.00064,0.64
Latavius Murray,6100,NOS,RB,CAR,20.96951,0.40911,10.49
Nyheim Hines,4700,IND,RB,HOU,15.73605,2.37558,8.67
DJ Chark,6400,JAC,WR,TEN,27.44627,0.01373,13.73
Chris Conley,4100,JAC,WR,TEN,16.69165,0.00835,8.35
A.J. Brown,4700,TEN,WR,JAC,19.89005,0.00995,9.95
Dede Westbrook,4600,JAC,WR,TEN,22.16891,1.45279,11.09
Keelan Cole,3500,JAC,WR,TEN,10.15492,0.00508,5.08
Auden Tate,4100,CIN,WR,PIT,10.11,1.348,6.74
Michael Walker,3000,JAC,WR,TEN,1.13943,0.00057,0.57
Corey Davis,4300,TEN,WR,JAC,15.63218,1.3294,7.82
Tajae Sharpe,3000,TEN,WR,JAC,10.91454,0.00546,5.46
Randall Cobb,4800,DAL,WR,NEP,19.27036,1.46528,9.64
Michael Gallup,5900,DAL,WR,NEP,23.50824,0.01176,11.76
Amari Cooper,6600,DAL,WR,NEP,27.3863,2.6715,13.7
Tavon Austin,3000,DAL,WR,NEP,3.31834,0.00166,1.66
Ventell Bryant,3000,DAL,WR,NEP,1.11944,0.00056,0.56
Kalif Raymond,3000,TEN,WR,JAC,3.91804,0.00196,1.96
Adam Humphries,3900,TEN,WR,JAC,17.87106,1.39464,8.94
Diontae Johnson,5100,PIT,WR,CIN,13.195,5.075,10.15
Stanley Morgan,3000,CIN,WR,PIT,6.9965,0.0035,3.5
Demaryius Thomas,3800,NYJ,WR,OAK,19.07046,1.34514,9.54
Jamison Crowder,6200,NYJ,WR,OAK,27.56621,2.30293,13.79
Vyncint Smith,3000,NYJ,WR,OAK,4.11794,0.00206,2.06
Robby Anderson,4800,NYJ,WR,OAK,19.01049,1.50258,9.51
Trevor Davis,3000,OAK,WR,NYJ,1.21939,0.00061,0.61
Zay Jones,3400,OAK,WR,NYJ,13.33333,0.83375,6.67
Tyrell Williams,5900,OAK,WR,NYJ,25.96701,0.01299,12.99
Braxton Berrios,3000,NYJ,WR,OAK,1.05947,0.00053,0.53
Tevin Jones,3000,PIT,WR,CIN,3.81809,0.00191,1.91
Tyler Boyd,5000,CIN,WR,PIT,25.5872,2.0864,12.8
Alex Erickson,4000,CIN,WR,PIT,12.23388,0.00612,6.12
Damion Willis,3100,CIN,WR,PIT,2.49875,0.00125,1.25
Johnny Holton,3300,PIT,WR,CIN,9.83508,0.00492,4.92
Deon Cain,3000,PIT,WR,CIN,2.85857,0.00143,1.43
James Washington,5000,PIT,WR,CIN,21.06946,0.01054,10.54
Julian Edelman,6900,NEP,WR,DAL,27.47242,6.67872,15.46
N'Keal Harry,3300,NEP,WR,DAL,22.10894,0.01106,11.06
Greg Ward,3000,PHI,WR,SEA,1.742,0.67,1.34
De'Anthony Thomas,3000,BAL,WR,LAR,4.35782,0.00218,2.18
Miles Boykin,3200,BAL,WR,LAR,6.91654,0.00346,3.46
Mack Hollins,3200,PHI,WR,SEA,14.45277,0.00723,7.23
JJ Arcega-Whiteside,3000,PHI,WR,SEA,15.21239,0.00761,7.61
Tyler Lockett,7600,SEA,WR,PHI,33.3833,2.7722,16.7
Jordan Matthews,3500,PHI,WR,SEA,22.22888,0.01112,11.12
Seth Roberts,3100,BAL,WR,LAR,9.73513,0.00487,4.87
Willie Snead,3700,BAL,WR,LAR,13.09345,0.8908,6.55
Brandin Cooks,5000,LAR,WR,BAL,22.32883,1.79837,11.17
Robert Woods,5400,LAR,WR,BAL,24.7876,2.852,12.4
Cooper Kupp,6800,LAR,WR,BAL,33.22338,2.19384,16.62
Josh Reynolds,3700,LAR,WR,BAL,4.49775,0.00225,2.25
Marquise Brown,5400,BAL,WR,LAR,25.44727,0.01273,12.73
Mike Thomas,3000,LAR,WR,BAL,2.31884,0.00116,1.16
D.K. Metcalf,6300,SEA,WR,PHI,26.76661,0.01339,13.39
Josh Gordon,4200,SEA,WR,PHI,18.33083,1.50388,9.17
Geronimo Allison,3500,GBP,WR,SFO,8.57571,0.00429,4.29
Marquez Valdes-Scantling,3900,GBP,WR,SFO,18.03098,0.00902,9.02
Davante Adams,6500,GBP,WR,SFO,29.60752,5.85736,16.88
Jake Kumerow,3100,GBP,WR,SFO,2.53873,0.00127,1.27
Mohamed Sanu,5500,NEP,WR,DAL,3.263,1.255,2.51
Jakobi Meyers,3000,NEP,WR,DAL,11.45427,0.00573,5.73
