Matt Slater,FLEX,3000,0.39
James White,FLEX,5300,12.45
Aaron Jones,FLEX,7000,15.98
Allen Lazard,FLEX,3400,6.86
Jacob Hollister,FLEX,4300,7.04
Emmanuel Sanders,FLEX,6400,13.84
Raheem Mostert,FLEX,3700,5.6
David Moore,FLEX,3200,5.16
Malik Turner,FLEX,3000,3.31
D.K. Metcalf,FLEX,6300,13.39
Josh Gordon,FLEX,4200,9.17
Ross Dwelley,FLEX,3700,1.18
George Kittle,FLEX,6300,13.99
Kyle Juszczyk,FLEX,3300,3.31
Tevin Coleman,FLEX,6200,15.28
Deebo Samuel,FLEX,5100,11.11
Kendrick Bourne,FLEX,3300,5.34
Richie James,FLEX,3000,1.72
Marquise Goodwin,FLEX,3200,3.69
Foster Moreau,FLEX,2800,3.26
Marcell Ateman,FLEX,3000,1.66
Durham Smythe,FLEX,2500,0.61
Albert Wilson,FLEX,3200,7.96
Allen Hurns,FLEX,3300,8.86
Mike Gesicki,FLEX,3400,8.55
Myles Gaskin,FLEX,3000,0.85
Demetrius Harris,FLEX,3200,3.94
Damion Ratley,FLEX,3000,0.59
DeVante Parker,FLEX,5200,12.8
Patrick Laird,FLEX,3400,4.85
Qadree Ollison,FLEX,3300,5.41
Russell Gage,FLEX,3900,9.93
Julio Jones,FLEX,8000,21.16
Kenjon Barner,FLEX,3500,2.83
Brian Hill,FLEX,4900,14.13
Kalen Ballage,FLEX,4400,10.55
Jakeem Grant,FLEX,3700,6.86
Khadarel Hodge,FLEX,3100,2.19
Jarvis Landry,FLEX,6300,15.35
Elijhaa Penny,FLEX,3000,0.22
Darius Slayton,FLEX,5300,7.38
Sterling Shepard,FLEX,4900,9.17
Wayne Gallman,FLEX,4200,2.45
Saquon Barkley,FLEX,7900,16.96
Ben Braunecker,FLEX,2700,5.52
Golden Tate,FLEX,5700,11.82
Bennie Fowler,FLEX,3000,3.77
Cody Latimer,FLEX,3000,3
Nick Chubb,FLEX,8100,19.08
Rashard Higgins,FLEX,3300,6.15
Kareem Hunt,FLEX,5600,12.32
Dontrell Hilliard,FLEX,3300,0.75
Stephen Carlson,FLEX,2500,0.82
Odell Beckham,FLEX,7000,17.11
Calvin Ridley,FLEX,6500,15.05
Justin Hardy,FLEX,3300,5
Darren Fells,FLEX,3300,7.48
Jordan Akins,FLEX,2600,5.45
Mo Alie-Cox,FLEX,2500,1.72
DeAndre Carter,FLEX,3000,0.61
Kenny Stills,FLEX,4100,7.65
DeAndre Hopkins,FLEX,7500,18.99
Will Fuller,FLEX,5300,10.67
Jack Doyle,FLEX,3300,7.89
Eric Ebron,FLEX,3700,8.28
Zach Pascal,FLEX,5600,8.68
T.Y. Hilton,FLEX,6600,11.96
Jonathan Williams,FLEX,4200,7.53
Jordan Wilkins,FLEX,4000,4.35
Chester Rogers,FLEX,3800,5.19
Marcus Johnson,FLEX,3400,4.33
Ashton Dulin,FLEX,3000,1.04
Gregory Howell,FLEX,3000,1.36
Duke Johnson,FLEX,3900,8.63
O.J. Howard,FLEX,3300,5.56
Justin Watson,FLEX,3000,0.61
Scotty Miller,FLEX,3100,2.01
Cameron Brate,FLEX,3600,5.82
Luke Stocker,FLEX,3100,2.94
Christian Blake,FLEX,3000,2.77
Jaeden Graham,FLEX,3300,4.52
Chris Godwin,FLEX,7200,17.71
Breshad Perriman,FLEX,3200,5.42
Jordan Thomas,FLEX,2800,0.44
Carlos Hyde,FLEX,4800,12.02
Ronald Jones,FLEX,4800,12.13
Peyton Barber,FLEX,3800,4.46
Mike Evans,FLEX,7300,18.11
Dare Ogunbowale,FLEX,3200,5.63
Cordarrelle Patterson,FLEX,3000,2.73
Anthony Miller,FLEX,3500,7.71
Isaiah McKenzie,FLEX,3200,4.62
Cole Beasley,FLEX,4400,10.61
John Brown,FLEX,6700,12.77
Andre Roberts,FLEX,3000,1.85
Robert Foster,FLEX,3000,2.89
Bo Scarbrough,FLEX,4200,8.91
Dawson Knox,FLEX,3000,5.3
Patrick DiMarco,FLEX,3000,0.6
Frank Gore,FLEX,4100,6.38
Diontae Spencer,FLEX,3000,0.82
Fred Brown,FLEX,3100,1.29
Courtland Sutton,FLEX,6200,12.39
Noah Fant,FLEX,3900,9.25
Jeff Heuerman,FLEX,2500,1.78
Devin Singletary,FLEX,5400,13.6
Tyler Kroft,FLEX,2500,3.9
Ty Johnson,FLEX,3700,5.31
J.D. McKissic,FLEX,4400,7.9
Paul Richardson,FLEX,4000,6.83
Terry McLaurin,FLEX,6000,10.89
Adrian Peterson,FLEX,4300,7.81
Trey Quinn,FLEX,3600,5.33
Steven Sims,FLEX,3000,4.13
Wendell Smallwood,FLEX,3000,1.04
Jeremy Sprinkle,FLEX,2900,6.02
Derrius Guice,FLEX,4700,10.12
Kelvin Harmon,FLEX,3300,6.02
Marvin Jones,FLEX,6100,11.46
Kenny Golladay,FLEX,6600,13.02
Marvin Hall,FLEX,3000,1.97
T.J. Hockenson,FLEX,3400,6.83
Danny Amendola,FLEX,4400,9.33
Logan Thomas,FLEX,2500,1.56
Devontae Booker,FLEX,3000,1.16
Tim Patrick,FLEX,3000,7.5
Curtis Samuel,FLEX,5400,12.79
D.J. Moore,FLEX,6400,13.89
J.P. Holtz,FLEX,2500,0.78
Christian McCaffrey,FLEX,10500,22.98
Donte Moncrief,FLEX,3000,0.52
Reggie Bonnafon,FLEX,3900,0.77
DeAndrew White,FLEX,3000,0.94
Scott Simonson,FLEX,2600,1.63
Kaden Smith,FLEX,2500,4.81
Tarik Cohen,FLEX,4800,10.18
David Montgomery,FLEX,5500,13.83
Ryan Nall,FLEX,3000,0.92
Allen Robinson,FLEX,6500,14.19
Javon Wims,FLEX,3000,1.34
Taylor Gabriel,FLEX,4200,8.61
Chris Manhertz,FLEX,2500,1.05
Greg Olsen,FLEX,4100,9.77
Josh Hill,FLEX,2700,2.29
Jared Cook,FLEX,4500,10.36
Krishawn Hogan,FLEX,3000,0.84
Alex Armah,FLEX,3000,0.27
Phillip Lindsay,FLEX,5200,14.15
Royce Freeman,FLEX,4500,8.93
DaeSean Hamilton,FLEX,3400,3.14
Deonte Harris,FLEX,3000,1.07
Ted Ginn,FLEX,4000,8.19
Alvin Kamara,FLEX,8200,22.03
Jarius Wright,FLEX,3000,5.16
Latavius Murray,FLEX,6100,10.49
Zach Line,FLEX,3000,0.64
Tre'Quan Smith,FLEX,3400,4.9
Michael Thomas,FLEX,9300,24.34
Nyheim Hines,FLEX,4700,8.67
Tennessee Titans,DST,3200,7.45
Dallas Cowboys,DST,2300,6.54
Jacksonville Jaguars,DST,2800,7.02
Cincinnati Bengals,DST,2100,6.57
New York Jets,DST,2700,6.76
Pittsburgh Steelers,DST,4000,8.58
New England Patriots,DST,3300,7.52
Green Bay Packers,DST,2700,7.11
Baltimore Ravens,DST,3400,7.46
Los Angeles Rams,DST,2300,6.45
Philadelphia Eagles,DST,2500,6.9
Seattle Seahawks,DST,2600,7.08
San Francisco 49ers,DST,3200,7.65
Oakland Raiders,DST,3600,8.08
Washington Redskins,DST,3000,6.86
Miami Dolphins,DST,2000,6.71
Cleveland Browns,DST,3800,9.51
Atlanta Falcons,DST,3500,7.18
Tampa Bay Buccaneers,DST,2200,6.28
Houston Texans,DST,2800,8.14
New York Giants,DST,2900,6.63
Chicago Bears,DST,3700,8.86
Buffalo Bills,DST,3400,9.04
Detroit Lions,DST,3100,7.92
Denver Broncos,DST,2400,7.76
New Orleans Saints,DST,3300,8.6
Carolina Panthers,DST,2200,6.56
Indianapolis Colts,DST,2600,6.75
